symbol,Date,Price
VJC,2024-09-01,103.82905
VJC,2024-09-02,103.71984
VJC,2024-09-03,103.60677
VJC,2024-09-04,103.491554
VJC,2024-09-05,103.37567
VJC,2024-09-06,103.260376
VJC,2024-09-07,103.14668
VJC,2024-09-08,103.03544
VJC,2024-09-09,102.92727
VJC,2024-09-10,102.82265
VNM,2024-08-21,74.83589
VNM,2024-08-22,75.040764
VNM,2024-08-23,75.17602
VNM,2024-08-24,75.26009
VNM,2024-08-25,75.3052
VNM,2024-08-26,75.31978
VNM,2024-08-27,75.309555
VNM,2024-08-28,75.2786
VNM,2024-08-29,75.22976
VNM,2024-08-30,75.16519
VNM,2024-08-31,75.08661
VNM,2024-09-01,74.99549
VNM,2024-09-02,74.89312
VNM,2024-09-03,74.78071
VNM,2024-09-04,74.659386
VNM,2024-09-05,74.53021
VNM,2024-09-06,74.39423
VNM,2024-09-07,74.252426
VNM,2024-09-08,74.10572
VNM,2024-09-09,73.95504
VNM,2024-09-10,73.80122
VPB,2024-08-21,18.341599
VPB,2024-08-22,18.36922
VPB,2024-08-23,18.393517
VPB,2024-08-24,18.415241
VPB,2024-08-25,18.435047
VPB,2024-08-26,18.453434
VPB,2024-08-27,18.470749
VPB,2024-08-28,18.487228
VPB,2024-08-29,18.503029
VPB,2024-08-30,18.518242
VPB,2024-08-31,18.53293
VPB,2024-09-01,18.547132
VPB,2024-09-02,18.56087
VPB,2024-09-03,18.574154
VPB,2024-09-04,18.587008
VPB,2024-09-05,18.59944
VPB,2024-09-06,18.611464
VPB,2024-09-07,18.623093
VPB,2024-09-08,18.634338
VPB,2024-09-09,18.645206
VPB,2024-09-10,18.655716
VRE,2024-08-21,18.619026
VRE,2024-08-22,18.684324
VRE,2024-08-23,18.76102
VRE,2024-08-24,18.84515
VRE,2024-08-25,18.933983
VRE,2024-08-26,19.025667
VRE,2024-08-27,19.11894
VRE,2024-08-28,19.21295
VRE,2024-08-29,19.307125
VRE,2024-08-30,19.401073
VRE,2024-08-31,19.494543
VRE,2024-09-01,19.58735
VRE,2024-09-02,19.679382
VRE,2024-09-03,19.770555
VRE,2024-09-04,19.860817
VRE,2024-09-05,19.950129
VRE,2024-09-06,20.038467
VRE,2024-09-07,20.125818
VRE,2024-09-08,20.212172
VRE,2024-09-09,20.297522
VRE,2024-09-10,20.381866
